state,workload,query,oracle_ms,prepared_ms,instant_ms,instant_over_prepared,prepared_input_bytes,instant_input_bytes,prepared_instant_hash_match
warm,job,01a,35.500,39.000,45.500,1.166667,0,0,true
warm,job,01b,50.500,22.000,34.000,1.545455,0,0,true
warm,job,01c,32.500,23.500,36.500,1.553191,0,0,true
warm,job,01d,43.000,23.500,37.000,1.574468,0,0,true
warm,job,02a,91.000,86.000,80.000,0.930233,0,0,true
warm,job,02b,90.000,84.000,76.000,0.904762,0,0,true
warm,job,02c,21.000,26.000,39.500,1.519231,0,0,true
warm,job,02d,111.500,101.000,94.000,0.930693,0,0,true
warm,job,03a,416.000,354.500,310.500,0.875882,0,0,true
warm,job,03b,557.000,484.000,474.000,0.979339,0,0,true
warm,job,03c,528.000,412.500,401.500,0.973333,0,0,true
warm,job,04a,104.000,87.000,82.000,0.942529,0,0,true
warm,job,04b,76.500,74.500,75.000,1.006711,0,0,true
warm,job,04c,110.000,97.500,90.000,0.923077,0,0,true
warm,job,05a,3.000,36.500,66.500,1.821918,0,0,true
warm,job,05b,3.500,36.500,64.500,1.767123,0,0,true
warm,job,05c,340.500,282.500,269.500,0.953982,0,0,true
warm,job,06a,245.500,242.000,245.500,1.014463,0,0,true
warm,job,06b,255.000,247.500,244.500,0.987879,0,0,true
warm,job,06c,250.500,249.500,241.000,0.965932,0,0,true
warm,job,06d,266.500,261.000,259.000,0.992337,0,0,true
warm,job,06e,247.500,242.500,243.500,1.004124,0,0,true
warm,job,06f,521.000,487.500,415.500,0.852308,0,0,true
warm,job,07a,205.000,146.500,159.000,1.085324,0,0,true
warm,job,07b,136.500,98.000,125.500,1.280612,0,0,true
warm,job,07c,869.000,679.500,626.500,0.922001,0,0,true
warm,job,08a,358.000,239.500,302.500,1.263048,0,0,true
warm,job,08b,295.000,195.500,210.500,1.076726,0,0,true
warm,job,08c,792.000,724.000,732.500,1.011740,0,0,true
warm,job,08d,226.000,187.000,189.000,1.010695,0,0,true
warm,job,09a,444.500,336.500,320.500,0.952452,0,0,true
warm,job,09b,425.000,309.000,313.000,1.012945,0,0,true
warm,job,09c,438.000,433.500,414.000,0.955017,0,0,true
warm,job,09d,664.500,643.000,628.000,0.976672,0,0,true
warm,job,10a,445.000,432.500,509.000,1.176879,0,0,true
warm,job,10b,257.000,302.500,332.500,1.099174,0,0,true
warm,job,10c,1056.000,1009.500,937.000,0.928182,0,0,true
warm,job,11a,36.500,29.500,54.500,1.847458,0,0,true
warm,job,11b,160.500,136.000,145.000,1.066176,0,0,true
warm,job,11c,50.500,44.000,68.500,1.556818,0,0,true
warm,job,11d,41.500,37.000,58.000,1.567568,0,0,true
warm,job,12a,107.000,113.500,111.500,0.982379,0,0,true
warm,job,12b,99.000,36.500,62.500,1.712329,0,0,true
warm,job,12c,131.500,132.500,134.500,1.015094,0,0,true
warm,job,13a,112.000,103.000,115.000,1.116505,0,0,true
warm,job,13b,129.500,127.500,138.000,1.082353,0,0,true
